Company,Year,Quoted Boards To Date,Quoted Boards Currently,Years On Board,Age,Education,SD of Years on Board,SD of Years in Organization,SD of Age,SD of Education,Gender,
CHILDRENS PLACE RETAIL STORES INC (Quoted),Current,5.3,2.3,4.9,66.9,2,3.3,3.3,3.7,6.1,0.7,87.5
CHILDRENS PLACE RETAIL STORES INC (Quoted),Jan-10,5.7,2.4,4.5,65.9,2,3,3,3.2,6.1,0.8,85.7
CHILDRENS PLACE RETAIL STORES INC (Quoted),Jan-09,3.9,1.9,7.6,66,1.4,6.4,7.2,2.6,8.4,0.9,85.7
CHILDRENS PLACE RETAIL STORES INC (Quoted),Feb-08,2.8,1.3,8.1,62.5,1.2,5.8,6.7,2.7,10.6,0.7,83.3
CINEMARK HOLDINGS INC (Quoted),Current,3.2,2,3.9,56.7,1.6,0.6,0.6,2.2,11.3,0.7,100
CINEMARK HOLDINGS INC (Quoted),Dec-09,3.2,2.1,2.9,54.9,1.6,0.6,0.6,2.2,11.6,0.7,100
CINEMARK HOLDINGS INC (Quoted),Dec-08,3,1.9,1.9,53.9,1.6,0.6,0.6,2.2,11.6,0.7,100
CINEMARK HOLDINGS INC (Quoted),Dec-07,2.9,1.6,1,53.5,1.8,0.4,0.4,2,12.1,0.4,100
CITIGROUP INC (Quoted),Current,5.9,2.4,3.9,63.4,2.6,3.7,3.7,2.4,5.2,1.2,85.7
CITIGROUP INC (Quoted),Dec-09,5.9,2.6,4.2,63,2.4,4.3,4.3,2.4,5.8,1.1,81.3
CITIGROUP INC (Quoted),Dec-08,6.1,2.8,6.8,65.2,2.2,3.7,3.7,1.4,5.9,1,83.3
CITIGROUP INC (Quoted),Dec-07,5.8,2.9,6.3,64,2.1,3.2,3.2,1.7,5.9,0.9,83.3
CITRIX SYSTEMS INC (Quoted),Current,3,1.7,8.1,54.6,2.4,5.9,5.9,1.6,5.3,0.9,85.7
CITRIX SYSTEMS INC (Quoted),Dec-09,3,1.9,7.1,52.6,2.4,5.9,5.9,1.6,5.3,0.9,85.7
CITRIX SYSTEMS INC (Quoted),Dec-08,2.9,1.7,6.1,51.6,2.4,5.9,5.9,1.6,5.3,0.9,85.7
CITRIX SYSTEMS INC (Quoted),Dec-07,2.5,1.3,6,50.8,2.5,5.9,5.9,1.7,5.7,1,100
CKE RESTAURANTS INC (De-listed 07/2010) (Quoted),Jul-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CKE RESTAURANTS INC (De-listed 07/2010) (Quoted),Jan-10,3.6,1.6,13,63.8,1.3,8.3,8.3,2.4,13.6,1.2,88.9
CKE RESTAURANTS INC (De-listed 07/2010) (Quoted),Jan-09,3.3,1.4,12,62.8,1.3,8.3,8.3,2.3,13.6,1.2,88.9
CKE RESTAURANTS INC (De-listed 07/2010) (Quoted),Jan-08,3.2,1.4,11,61.8,1.3,8.3,8.3,2.1,13.6,1.2,88.9
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007) (Quoted),Current,2.3,1.4,5.6,59.6,1.6,3.1,3.6,2,7.9,1.3,93.8
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007) (Quoted),Dec-09,2.3,1.5,4.8,58.2,1.7,2.9,3.4,1.9,8,1.3,93.3
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007) (Quoted),Dec-08,2.4,1.5,4,57.8,1.7,2.9,2.9,2,8.1,1.3,93.5
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007) (Quoted),Dec-07,2.3,1.5,3.7,56.7,1.7,2.6,2.6,2,7.7,1.3,88.9
COLONIAL BANCGROUP INC (De-listed 08/2009) (Quoted),Aug-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
COLONIAL BANCGROUP INC (De-listed 08/2009) (Quoted),Dec-08,1.1,1,18.4,65.1,1.1,7,7.4,0.3,5,1.3,100
COLONIAL BANCGROUP INC (De-listed 08/2009) (Quoted),Dec-07,1.1,1,16.4,63.3,1,7.8,8.2,0.3,5.9,1.3,93.3
COLONIAL BANCGROUP INC (De-listed 08/2009) (Quoted),Dec-06,1.1,1,15.4,62.3,1,7.8,8.2,0.3,5.9,1.3,93.3
COMMSCOPE INC (De-listed 01/2011) (Quoted),Jan-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
COMMSCOPE INC (De-listed 01/2011) (Quoted),Dec-09,2.5,2,9.1,70.2,0.5,3.5,3.5,2.5,5.3,0.5,83.3
COMMSCOPE INC (De-listed 01/2011) (Quoted),Dec-08,3.3,2.8,7.5,70.3,0.5,3.9,3.9,2.8,6.2,0.5,100
COMMSCOPE INC (De-listed 01/2011) (Quoted),Dec-07,2.5,2.3,7.1,68.2,0.5,3.5,3.5,2.5,5.3,0.5,83.3
COMPLETE PRODUCTION SERVICES INC (Quoted),Current,5.8,2.2,5.5,62.8,1.8,1.9,1.9,3.5,8.9,0.4,100
COMPLETE PRODUCTION SERVICES INC (Quoted),Dec-09,5.1,1.9,4.4,60.4,1.9,1.8,1.8,3.5,8.2,0.3,100
COMPLETE PRODUCTION SERVICES INC (Quoted),Dec-08,4.8,2,3.4,57.9,2,1.7,1.7,3.3,8.7,0.5,100
COMPLETE PRODUCTION SERVICES INC (Quoted),Dec-07,4.5,1.9,2.4,56.9,2,1.7,1.7,3.3,8.7,0.5,100
CONOCOPHILLIPS (Quoted),Current,5,2.5,6.4,63.5,1.8,2.2,2.2,2.9,5.2,0.6,76.9
CONOCOPHILLIPS (Quoted),Dec-09,5.2,2.5,5.8,63.1,1.8,1.6,1.6,2.9,2.9,0.6,75
CONOCOPHILLIPS (Quoted),Dec-08,5.2,2.7,4.8,62.1,1.8,1.6,1.6,2.9,2.9,0.6,75
CONOCOPHILLIPS (Quoted),Dec-07,4.8,2.6,4.2,63.3,2.1,1.5,1.5,2.7,4.8,1.2,81.3
COSTCO WHOLESALE CORP (Costco Companies Inc prior to 06/1999) (Price/Costco Inc prior to 01/1997) (Quoted),Current,2.5,1.8,12.2,69.4,1.7,5.1,5.1,1.9,12.7,1.2,81.8
COSTCO WHOLESALE CORP (Costco Companies Inc prior to 06/1999) (Price/Costco Inc prior to 01/1997) (Quoted),Aug-10,2.5,1.8,11.8,68.5,1.7,5.1,5.1,1.9,12.6,1.2,81.8
COSTCO WHOLESALE CORP (Costco Companies Inc prior to 06/1999) (Price/Costco Inc prior to 01/1997) (Quoted),Aug-09,2.7,1.9,10.2,67.6,1.9,5.1,5.1,1.9,13.2,1.1,80
COSTCO WHOLESALE CORP (Costco Companies Inc prior to 06/1999) (Price/Costco Inc prior to 01/1997) (Quoted),Aug-08,2.9,2,10.3,68.4,2,4.2,4.2,1.9,12.6,1.2,77.8
COVANCE INC (Quoted),Current,5.2,3,4,60.7,3,2.4,2.4,2.8,4.4,1.5,83.3
COVANCE INC (Quoted),Dec-09,4.4,2.9,4.2,59,2.6,3.7,3.7,3,4,1.8,71.4
COVANCE INC (Quoted),Dec-08,4.7,2.2,5.8,62.7,2.3,4.3,4.3,3.6,6.9,1.9,66.7
COVANCE INC (Quoted),Dec-07,3.9,2,7.4,64,2.4,4.1,4.1,3.7,7.2,1.7,71.4
COVANTA HOLDING CORP (Danielson Holdings prior to 09/2005) (Quoted),Current,4.6,1.9,7.5,58,1.9,3.8,3.8,4.8,7.5,1.1,77.8
COVANTA HOLDING CORP (Danielson Holdings prior to 09/2005) (Quoted),Dec-09,5.7,2.3,6.6,60,1.9,3.5,3.5,5.2,10.3,1.1,81.8
COVANTA HOLDING CORP (Danielson Holdings prior to 09/2005) (Quoted),Dec-08,6,2.3,6.2,59.3,1.9,3.1,3.1,5.3,10.7,1.1,80
COVANTA HOLDING CORP (Danielson Holdings prior to 09/2005) (Quoted),Dec-07,5.9,2.4,5.2,58.3,1.9,3.1,3.1,5.3,10.7,1.1,80
CURTISS-WRIGHT CORP (Quoted),Current,2.1,1.4,10,66.6,2.4,5.8,5.8,1.2,7.7,0.7,87.5
CURTISS-WRIGHT CORP (Quoted),Dec-09,2.1,1.4,8.9,64.6,2.4,5.8,5.8,1.2,7.7,0.7,87.5
CURTISS-WRIGHT CORP (Quoted),Dec-08,2.1,1.4,7.9,63.6,2.4,5.8,5.8,1.2,7.7,0.7,87.5
CURTISS-WRIGHT CORP (Quoted),Dec-07,2.1,1.3,8.5,64.8,2.4,5.4,5.4,1.1,8.4,0.7,87.5
CVS CAREMARK CORP (CVS/CAREMARK Corp prior to 05/2007) (Quoted),Current,6.9,2.4,7.7,64.6,2.1,4.9,4.9,3.8,7.5,1.1,72.7
CVS CAREMARK CORP (CVS/CAREMARK Corp prior to 05/2007) (Quoted),Dec-09,6.7,2.5,6.6,63,2.1,4.9,4.9,3.6,7.6,1.1,72.7
CVS CAREMARK CORP (CVS/CAREMARK Corp prior to 05/2007) (Quoted),Dec-08,6.7,2.8,5.6,62,2.1,4.9,4.9,3.6,7.6,1.1,72.7
CVS CAREMARK CORP (CVS/CAREMARK Corp prior to 05/2007) (Quoted),Dec-07,6.7,3.3,4.6,61,2.1,4.9,4.9,3.6,7.6,1.1,72.7
CYPRESS SEMICONDUCTOR CORP (Quoted),Current,4.6,1.9,7.7,58.9,2,5,5.6,2.4,7.9,1.8,100
CYPRESS SEMICONDUCTOR CORP (Quoted),Jan-10,4.7,2.5,7.8,60,2,4.4,4.4,2.6,6.3,1.9,100
CYPRESS SEMICONDUCTOR CORP (Quoted),Dec-08,4.5,2.8,6.8,58,2,4.4,4.4,2.4,6.3,1.9,100
CYPRESS SEMICONDUCTOR CORP (Quoted),Dec-07,4.5,3,5.8,57,2,4.4,4.4,2.4,6.3,1.9,100
DELL INC (Dell Computer Corp prior to 07/2003) (Quoted),Current,6.5,2.9,9.1,62.4,2,6.7,6.7,3.9,8.5,0.9,90.9
DELL INC (Dell Computer Corp prior to 07/2003) (Quoted),Jan-10,6.4,2.8,9,61.2,2,6.3,6.3,4,8.9,0.9,90
DELL INC (Dell Computer Corp prior to 07/2003) (Quoted),Jan-09,7.1,3.2,10.1,63.5,1.9,4.8,4.8,4.5,7.4,0.8,80
DELL INC (Dell Computer Corp prior to 07/2003) (Quoted),Feb-08,6.3,2.8,8.5,62.7,1.9,4.6,4.6,4.4,7.7,0.9,77.8
DELPHI FINANCIAL GROUP INC (Quoted),Current,2.7,1.3,8.4,69.4,2.3,5.2,5.2,2.1,7.8,1.2,100
DELPHI FINANCIAL GROUP INC (Quoted),Dec-09,2.7,1.4,7.3,67.4,2.3,5.2,5.2,2.1,7.8,1.2,100
DELPHI FINANCIAL GROUP INC (Quoted),Dec-08,2.7,1.4,6.3,66.4,2.3,5.2,5.2,2.1,7.8,1.2,100
DELPHI FINANCIAL GROUP INC (Quoted),Dec-07,2.7,1.4,5.3,65.4,2.3,5.2,5.2,2.1,7.8,1.2,100
DELUXE CORP (Quoted),Current,2.6,1.9,7.7,60.2,2.3,3.7,3.7,2.5,5.2,0.7,77.8
DELUXE CORP (Quoted),Dec-09,2.4,1.9,6.6,58.2,2.3,3.7,3.7,2.5,5.2,0.7,77.8
DELUXE CORP (Quoted),Dec-08,2.4,1.9,5.6,57.2,2.3,3.7,3.7,2.5,5.2,0.7,77.8
DELUXE CORP (Quoted),Dec-07,2.4,1.9,4.6,56.2,2.3,3.7,3.7,2.5,5.2,0.7,77.8
DOLLAR THRIFTY AUTOMOTIVE GROUP INC (Quoted),Current,5.8,3,11,63.8,2.2,3.2,3.2,2.5,7.2,0.4,80
DOLLAR THRIFTY AUTOMOTIVE GROUP INC (Quoted),Dec-09,5.6,2.8,9.9,62.2,2.2,3.2,3.2,2.7,7.5,0.4,80
DOLLAR THRIFTY AUTOMOTIVE GROUP INC (Quoted),Dec-08,5,2.5,9.2,62.8,2.2,3,3,2.6,7.7,0.4,83.3
DOLLAR THRIFTY AUTOMOTIVE GROUP INC (Quoted),Dec-07,4.6,2.3,8.2,62.1,2.3,2.8,2.8,2.7,7.2,0.5,71.4
DOMINO'S PIZZA INC (Quoted),Current,4.3,2,5.3,54.7,1.9,3.5,3.5,2.9,6.9,1.1,85.7
DOMINO'S PIZZA INC (Quoted),Jan-10,3.8,2,5,58,2.2,0.6,0.6,2.8,10.8,1.3,80
DOMINO'S PIZZA INC (Quoted),Dec-08,4.7,2.2,4.1,57.8,2.3,0.6,0.6,3.2,10.7,1.2,83.3
DOMINO'S PIZZA INC (Quoted),Dec-07,4.7,2.3,3.1,56.8,2.3,0.6,0.6,3.2,10.7,1.2,83.3
DOW CHEMICAL CO (Quoted),Current,4.4,2.4,10.7,61.8,2.4,8.4,12.5,3,5.9,1.1,72.7
DOW CHEMICAL CO (Quoted),Dec-09,4.4,2.3,10.6,61.1,2.1,8.2,12.5,3.2,5.9,0.7,70
DOW CHEMICAL CO (Quoted),Dec-08,4.4,2.4,9.6,60.1,2.1,8.2,12.5,3.2,5.9,0.7,70
DOW CHEMICAL CO (Quoted),Dec-07,4.6,2.3,8.3,58.7,2.2,8.5,8.5,2.9,6.1,0.6,66.7
DPL INC (Quoted),Current,1.8,1.4,5.6,65.3,2.8,1.7,2.2,1.3,3.1,1.9,75
DPL INC (Quoted),Dec-09,1.8,1.5,4.5,63.3,2.8,1.7,2.2,1.3,3.1,1.9,75
DPL INC (Quoted),Dec-08,1.8,1.5,3.5,62.3,2.8,1.7,2.2,1.3,3.1,1.9,75
DPL INC (Quoted),Dec-07,1.9,1.6,4.6,61.9,2.9,4.4,4.4,1.1,3.3,1.8,87.5
DRESSER-RAND GROUP INC (Quoted),Current,4.1,2,4.3,61.9,2.4,1.6,1.6,3.7,3.4,0.9,85.7
DRESSER-RAND GROUP INC (Quoted),Dec-09,4.1,2,3.2,59.9,2.4,1.6,1.6,3.7,3.4,0.9,85.7
DRESSER-RAND GROUP INC (Quoted),Dec-08,4.1,2,2.7,59.4,2.3,0.9,0.9,3.7,3.9,1,85.7
DRESSER-RAND GROUP INC (Quoted),Dec-07,4.1,2,1.7,58.4,2.3,0.9,0.9,3.7,3.9,1,85.7
DUN & BRADSTREET CORP (Quoted),Current,3.9,2,7.4,63.6,1.9,2.2,2.2,2.3,6.7,0.6,75
DUN & BRADSTREET CORP (Quoted),Dec-09,4.1,2.1,6,62.1,1.8,2.7,2.7,2.3,7,0.6,80
DUN & BRADSTREET CORP (Quoted),Dec-08,4.1,2.1,5,61.1,1.8,2.7,2.7,2.3,7,0.6,80
DUN & BRADSTREET CORP (Quoted),Dec-07,4.2,2.1,4.6,60.8,1.9,2.3,2.3,2.4,7.1,0.6,77.8
EAGLE ROCK ENERGY PARTNERS LP (Quoted),Current,4.1,1.8,3.2,54.6,1.8,1.6,1.6,3.3,10.3,0.7,87.5
EAGLE ROCK ENERGY PARTNERS LP (Quoted),Dec-09,3.8,1.7,3,51.8,1.7,0.3,0.3,3,11.4,0.7,100
EAGLE ROCK ENERGY PARTNERS LP (Quoted),Dec-08,3.5,1.7,2,50.8,1.7,0.3,0.3,2.8,11.4,0.7,100
EAGLE ROCK ENERGY PARTNERS LP (Quoted),Dec-07,3.3,1.8,1,49.8,1.7,0.3,0.3,2.7,11.4,0.7,100
ENERGYSOLUTIONS INC (Quoted),Current,4.6,2.4,2,60.5,2.4,1,1.2,4.1,6.8,0.9,87.5
ENERGYSOLUTIONS INC (Quoted),Dec-09,4.2,2.2,1.4,59.8,2.4,0.8,0.9,3.6,6.3,0.8,77.8
ENERGYSOLUTIONS INC (Quoted),Dec-08,2,1.6,1.1,52.4,2.1,0.7,0.7,1.8,11.6,0.6,85.7
ENERGYSOLUTIONS INC (Quoted),Dec-07,2.9,1.8,0.6,50.4,2.6,1,1,2.8,10.8,0.7,87.5
EQUIFAX INC (Quoted),Current,2.6,2,5.9,60.9,1.9,5.1,5.1,0.9,4.6,0.3,87.5
EQUIFAX INC (Quoted),Dec-09,2.6,2,4.8,59.4,1.9,5.1,5.1,0.9,4.7,0.3,87.5
EQUIFAX INC (Quoted),Dec-08,2.6,2,3.8,58.4,1.9,5.1,5.1,0.9,4.7,0.3,87.5
EQUIFAX INC (Quoted),Dec-07,4.7,3.2,8.4,62.4,2.1,8.7,8.8,3.8,6.3,1.4,80
EXPRESSJET HOLDINGS INC (De-listed 11/2010) (Quoted),Nov-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
EXPRESSJET HOLDINGS INC (De-listed 11/2010) (Quoted),Dec-09,2.3,1.6,3.9,55.4,1.6,2.4,2.3,2,7.2,1.2,66.7
EXPRESSJET HOLDINGS INC (De-listed 11/2010) (Quoted),Dec-08,2.2,1.6,3,53.9,1.4,2.2,2.2,2,8.1,1.2,66.7
EXPRESSJET HOLDINGS INC (De-listed 11/2010) (Quoted),Dec-07,2.6,1.7,2.7,52.7,1.1,2,2,2.2,4,0.8,57.1
EXXON MOBIL CORP (Quoted),Current,5.6,2.4,4.5,64.2,2.3,3.7,3.7,2.5,5,1,90
EXXON MOBIL CORP (Quoted),Dec-09,5,1.9,5,64.3,2.6,3.7,3.7,2.5,5.1,1.5,77.8
EXXON MOBIL CORP (Quoted),Dec-08,5.8,2.1,5.5,66.1,2.6,3.7,3.7,2.2,4.9,1.4,80
EXXON MOBIL CORP (Quoted),Dec-07,6,2.7,6.2,66.5,2.6,3,3,2.3,5.5,1.4,80
FASTENAL CO (Quoted),Current,1,1,20,61.9,1.1,18.1,18.3,0,11.4,1,100
FASTENAL CO (Quoted),Dec-09,1,1,19,59.9,1.1,18.1,18.3,0,11.4,1,100
FASTENAL CO (Quoted),Dec-08,1,1,25.2,66.1,1.4,16.4,16.5,0,2.9,1.2,100
FASTENAL CO (Quoted),Dec-07,1,1,24.2,65.1,1.4,16.4,16.5,0,2.9,1.2,100
FEDERAL HOME LOAN MORTGAGE CORP (FREDDIE MAC) (De-listed 07/2010) (Quoted),Jul-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
FEDERAL HOME LOAN MORTGAGE CORP (FREDDIE MAC) (De-listed 07/2010) (Quoted),Dec-08,3.5,2.1,0.8,60.2,2.3,1.3,1.3,2.5,5.8,1,70
FEDERAL HOME LOAN MORTGAGE CORP (FREDDIE MAC) (De-listed 07/2010) (Quoted),Dec-07,3.6,2.5,4.1,60.8,2.3,2.6,2.6,2.6,7.2,0.6,80
FEDERAL HOME LOAN MORTGAGE CORP (FREDDIE MAC) (De-listed 07/2010) (Quoted),Dec-06,3.6,2.4,4.5,60.5,2.2,4.6,4.6,2.4,7.2,0.7,81.8
FLEETWOOD ENTERPRISES INC (De-listed 01/2009) (Quoted),Jan-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
FLEETWOOD ENTERPRISES INC (De-listed 01/2009) (Quoted),Apr-08,2.9,2.1,10.3,65.9,1.9,6,6,1.6,6.5,0.9,90
FLEETWOOD ENTERPRISES INC (De-listed 01/2009) (Quoted),Apr-07,2.9,2.2,9.3,64.9,1.9,6,6,1.6,6.5,0.9,90
FLEETWOOD ENTERPRISES INC (De-listed 01/2009) (Quoted),Apr-06,2.5,2,8.3,63.9,1.9,6,6,1.3,6.5,0.9,90
FORD MOTOR CO (Quoted),Current,6.2,3,10.4,64.7,2.6,7.9,9.8,4,6.1,0.9,83.3
FORD MOTOR CO (Quoted),Dec-09,5.3,2.8,10.2,63.2,2.5,7.6,9.7,3.2,6.5,0.9,81.8
FORD MOTOR CO (Quoted),Dec-08,5,2.7,11.4,62,2.4,6.9,9.1,3.4,6.9,0.8,77.8
FORD MOTOR CO (Quoted),Dec-07,4.8,3,9.9,61.1,2.4,6.3,8.4,2.8,6.5,0.9,81.8
FOSSIL INC (Quoted),Current,2.3,1.4,7.9,66.3,1.1,6.2,6.2,1.9,10.9,0.9,75
FOSSIL INC (Quoted),Jan-10,2,1.1,6.9,65.3,1.1,6.2,6.2,1.6,10.9,0.9,75
FOSSIL INC (Quoted),Jan-09,2,1.1,7.8,66.6,0.9,6.8,6.8,1.4,10.9,0.9,80
FOSSIL INC (Quoted),Jan-08,2,1.1,6.8,65.6,0.9,6.8,6.8,1.4,10.9,0.9,80
FRED'S INC (Quoted),Current,1.2,1,13.5,63.3,0.7,7.4,7.4,0.4,7.8,0.9,83.3
FRED'S INC (Quoted),Jan-10,1.2,1,12.5,62.3,0.7,7.4,7.4,0.4,7.8,0.9,83.3
FRED'S INC (Quoted),Jan-09,1.2,1,9.4,60.2,0.8,6.3,6.3,0.4,8.1,1,80
FRED'S INC (Quoted),Feb-08,1.3,1.2,8.3,60.7,0.7,5.8,5.8,0.5,8.1,0.9,83.3
FULLER(H.B.)CO (Quoted),Current,4,2.6,7.7,61,2.1,4.3,4.3,3.2,8.1,0.6,85.7
FULLER(H.B.)CO (Quoted),Nov-09,4.5,2.8,7.8,60.2,2.2,3.4,3.4,3.1,8.9,0.7,83.3
FULLER(H.B.)CO (Quoted),Nov-08,3.6,2.4,6.5,60.5,1.8,3.1,3.1,2.7,8.6,1,87.5
FULLER(H.B.)CO (Quoted),Dec-07,3.6,2.5,5.6,59.5,1.8,3.1,3.1,2.7,8.6,1,87.5
FURNITURE BRANDS INTERNATIONAL INC (Quoted),Current,2.9,2,4.2,65.5,1.8,4.3,4.3,2.1,7.2,1.4,77.8
FURNITURE BRANDS INTERNATIONAL INC (Quoted),Dec-09,2.9,2,5.2,63.7,1.4,4,4,2.2,7.4,0.9,85.7
FURNITURE BRANDS INTERNATIONAL INC (Quoted),Dec-08,3.1,1.8,3.7,61.9,1.4,3.9,3.9,2.1,7.3,0.9,87.5
FURNITURE BRANDS INTERNATIONAL INC (Quoted),Dec-07,3.4,1.8,10,65.4,1.9,7.6,7.6,2,12.3,0.8,87.5
GARDNER DENVER INC (Quoted),Current,2.1,1.8,9.7,62.1,2.1,4.8,4.8,0.9,7.5,0.8,87.5
GARDNER DENVER INC (Quoted),Dec-09,2.1,1.8,8.6,60.4,2.1,4.8,4.8,0.9,7.3,0.8,87.5
GARDNER DENVER INC (Quoted),Dec-08,2.3,1.8,9.5,60.6,2,4.3,6.1,0.8,6.8,0.7,87.5
GARDNER DENVER INC (Quoted),Dec-07,1.8,1.5,8.5,60.8,2,4.2,4.2,0.7,7.6,0.7,87.5
GENERAL ELECTRIC CO (Quoted),Current,5.5,2.6,9.1,63,2.4,5.3,5.3,3.3,6.6,1.6,75
GENERAL ELECTRIC CO (Quoted),Dec-09,5.5,2.6,8.5,62.1,2.4,4.9,5,3.4,6.5,1.6,73.3
GENERAL ELECTRIC CO (Quoted),Dec-08,6.2,2.9,8.6,62.9,2.5,4.8,4.9,5.3,6.2,1.6,73.3
GENERAL ELECTRIC CO (Quoted),Dec-07,6.4,3.1,8.2,61.9,2.5,4.5,4.6,5.4,6.5,1.6,71.4
GENERAL MOTORS CO (Quoted),Current,8.2,2.5,0.2,63.6,2.2,0,0,5.4,5.3,0.7,60
GENERAL MOTORS CO (Quoted),Nov-10,8.1,2.4,0,63.2,2.2,0,0,5.4,5.5,0.7,60
GENESCO INC (Quoted),Current,2.6,1.9,9.5,64.1,2.7,3.5,11.4,1.6,8.8,3.2,88.9
GENESCO INC (Quoted),Jan-10,2.6,2,8.5,63.1,2.7,3.5,11.4,1.6,8.8,3.2,88.9
GENESCO INC (Quoted),Jan-09,2.6,2,7.5,62.1,2.7,3.5,11.4,1.6,8.8,3.2,88.9
GENESCO INC (Quoted),Feb-08,2.4,1.8,7.8,62.2,2.5,5,11.2,1.5,9,3,90
GLOBAL PAYMENTS INC (Quoted),Current,3.9,1.8,8.1,66.1,2.4,1.8,3.8,3.1,7.4,0.9,87.5
GLOBAL PAYMENTS INC (Quoted),May-10,3.9,1.8,7.4,65.1,2.4,1.8,3.8,3.1,7.4,0.9,87.5
GLOBAL PAYMENTS INC (Quoted),May-09,3.9,1.8,6.4,64.1,2.4,1.8,3.8,3.1,7.4,0.9,87.5
GLOBAL PAYMENTS INC (Quoted),May-08,3.9,1.9,5.4,63.1,2.4,1.8,3.8,3.1,7.4,0.9,87.5
GOLDMAN SACHS GROUP INC (Quoted),Current,6.1,2.2,6.3,65.9,2.3,3.7,3.7,2.5,4.8,0.8,88.9
GOLDMAN SACHS GROUP INC (Quoted),Dec-09,6.1,2.7,6,64.7,2.6,3.4,3.4,2.4,4.6,1.4,80
GOLDMAN SACHS GROUP INC (Quoted),Nov-08,6.3,2.8,5.5,63.6,2.6,3,3,2.3,4.7,1.4,77.8
GOLDMAN SACHS GROUP INC (Quoted),Nov-07,5.9,2.7,5.1,63,2.7,2.4,2.4,2.3,4.3,1.3,77.8
GRIFFON CORP (Quoted),Current,2.1,1.4,15.5,67.4,1.4,14.2,14.2,1.5,13.4,1,100
GRIFFON CORP (Quoted),Sep-10,2,1.3,15.2,66.4,1.4,14.2,14.2,1.5,13.4,1,100
GRIFFON CORP (Quoted),Sep-09,1.8,1.2,15.2,67.2,1.4,14.1,14.1,1.2,14.3,0.9,100
GRIFFON CORP (Quoted),Sep-08,1.8,1.2,14.2,66.2,1.4,14.1,14.1,1.2,14.3,0.9,100
GUESS INC (Quoted),Current,1.7,1.3,5.5,58.3,1.5,3,3,1.1,4.8,1.4,66.7
GUESS INC (Quoted),Jan-10,2.4,1.6,5.9,60.2,1.8,3.2,3.2,1.4,3.7,1.3,40
GUESS INC (Quoted),Jan-09,2.4,1.6,4.9,59.2,1.8,3.2,3.2,1.4,3.7,1.3,40
GUESS INC (Quoted),Feb-08,2.4,1.6,4,58.2,1.8,3.2,3.2,1.4,3.7,1.3,40
HEARTLAND PAYMENT SYSTEMS INC (Quoted),Current,5.3,1.2,7.4,60.3,1.8,1.9,1.9,5,8.6,0.4,100
HEARTLAND PAYMENT SYSTEMS INC (Quoted),Dec-09,5.3,1.2,6.3,58.3,1.8,1.9,1.9,5,8.6,0.4,100
HEARTLAND PAYMENT SYSTEMS INC (Quoted),Dec-08,5.3,1.5,5.3,57.3,1.8,1.9,1.9,5,8.6,0.4,100
HEARTLAND PAYMENT SYSTEMS INC (Quoted),Dec-07,4.7,1.7,4.6,55.1,1.9,1.9,1.9,4.1,8.5,0.3,100
HELIX ENERGY SOLUTIONS GROUP INC (Cal Dive International prior to 02/2006) (Quoted),Current,5,2.1,9.1,62,2.6,5.6,5.6,1.9,10.1,1.2,85.7
HELIX ENERGY SOLUTIONS GROUP INC (Cal Dive International prior to 02/2006) (Quoted),Dec-09,5,2.7,8,60.3,2.6,5.6,5.6,1.9,10.1,1.2,85.7
HELIX ENERGY SOLUTIONS GROUP INC (Cal Dive International prior to 02/2006) (Quoted),Dec-08,5,2.8,8.2,60,2.7,5.1,5.1,2.1,10.8,1.2,100
HELIX ENERGY SOLUTIONS GROUP INC (Cal Dive International prior to 02/2006) (Quoted),Dec-07,4.6,2.7,6.9,58.3,2.6,4.8,4.8,2.2,10.1,1.2,100
HELMERICH & PAYNE INC (Quoted),Current,4,1.8,13.4,62,2.5,6,6,2.3,5.4,0.8,83.3
HELMERICH & PAYNE INC (Quoted),Sep-09,4,1.8,12,60.3,2.5,6,6,2.3,5.7,0.8,83.3
HELMERICH & PAYNE INC (Quoted),Sep-08,4,2,11.8,62.1,2.3,5.9,5.9,2.1,8.7,0.9,85.7
HELMERICH & PAYNE INC (Quoted),Sep-07,4,2.2,11.1,62.5,2.3,6.3,6.3,2.3,8.6,0.9,83.3
HEWLETT-PACKARD (HP) CO (Quoted),Current,5.1,2,3.1,58.1,2,3,3,2.5,7,0.8,68.8
HEWLETT-PACKARD (HP) CO (Quoted),Oct-09,4.7,2.3,3.6,57,2,2.4,2.4,1.9,8,0.6,80
